Ergebnisart;Datum;Uhrzeit;Soll Wahlbezirke;Ist Wahlbezirke;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - DIE LINKE;F02 - CDU;F03 - SPD;F04 - FDP;F05 - GRÜNE;F06 - PIRATEN;F07 - NPD;F08 - MLPD;F09 - AfD;F10 - pro Deutschland;F11 - FREIE WÄHLER;F12 - ÖDP;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - DIE LINKE;D02 - CDU;D03 - SPD;D04 - FDP;D05 - GRÜNE;D06 - PIRATEN;D07 - NPD;D08 - MLPD;D09 - AfD;D11 - FREIE WÄHLER;D13 - Tierschutzpartei;D14 - Einzelbewerber;
V;22.09.2013;20:49;1;1;GEM;15085035;Gemeinde Bad Suderode;1532;883;10;873;209;384;156;20;39;13;9;0;30;4;5;4;13;870;211;418;154;17;31;13;11;;;9;6;;
V;22.09.2013;21:29;6;6;GEM;15085040;Stadt Ballenstedt;6546;3350;62;3288;755;1486;588;73;101;65;59;1;123;12;20;5;61;3289;745;1567;615;55;106;62;75;;;29;35;;
V;22.09.2013;20:59;17;17;GEM;15085055;Stadt Blankenburg (Harz);18431;9574;209;9365;2164;4000;1791;219;256;148;216;10;432;39;78;12;231;9343;2203;4235;1838;129;281;181;268;;;92;116;;
V;22.09.2013;19:49;1;1;GEM;15085090;Gemeinde Ditfurt;1401;733;24;709;164;332;102;20;22;13;28;0;22;2;3;1;23;710;157;344;122;13;12;10;38;;;5;9;;
V;22.09.2013;22:09;8;8;GEM;15085110;Stadt Falkenstein/Harz;4848;2666;52;2614;697;1107;453;51;69;32;76;2;89;7;29;2;65;2601;711;1108;492;42;62;39;88;;;26;33;;
V;22.09.2013;20:09;2;2;GEM;15085120;Stadt Gernrode;3014;1515;21;1494;328;729;243;49;49;15;11;0;51;5;13;1;24;1491;338;768;234;27;33;19;25;;;19;28;;
V;22.09.2013;19:39;1;1;GEM;15085125;Gemeinde Groß Quenstedt;817;458;16;442;102;182;75;12;8;9;20;0;26;2;6;0;15;443;106;199;82;12;6;10;21;;;5;2;;
V;22.09.2013;20:59;26;26;GEM;15085135;Stadt Halberstadt;35039;15867;268;15599;3860;6617;2976;291;526;248;288;16;564;33;85;95;333;15534;3891;6989;3064;152;494;295;363;;;106;180;;
V;22.09.2013;20:59;1;1;GEM;15085140;Gemeinde Harsleben;1867;1015;22;993;215;481;161;21;25;16;20;0;42;3;7;2;22;993;233;501;155;10;23;24;23;;;10;14;;
V;22.09.2013;20:19;11;11;GEM;15085145;Stadt Harzgerode;7360;3927;102;3825;919;1709;688;77;99;61;89;4;133;12;33;1;99;3828;908;1780;748;40;113;66;108;;;35;30;;
V;22.09.2013;19:39;1;1;GEM;15085160;Gemeinde Hedersleben;1234;578;17;561;135;237;108;14;6;13;12;1;24;4;5;2;17;561;130;254;132;2;7;11;20;;;1;4;;
V;22.09.2013;21:49;11;11;GEM;15085185;Gemeinde Huy;6457;3155;81;3074;663;1464;512;67;90;53;56;3;130;12;18;6;94;3061;655;1558;549;37;84;62;68;;;25;23;;
V;22.09.2013;21:09;6;6;GEM;15085190;Stadt Ilsenburg (Harz);8165;4521;70;4451;864;2017;925;100;192;73;55;6;169;12;35;3;85;4436;815;2167;973;55;207;70;75;;;32;42;;
V;22.09.2013;20:59;8;8;GEM;15085227;Gemeinde Nordharz;6717;3907;80;3827;663;1828;768;64;143;65;95;3;159;15;21;3;73;3834;665;1940;801;27;160;79;110;;;19;33;;
